ID_Proyecto,Tipo_Proyecto,Duracion_Estimada_Meses,Tamaño_Equipo,Nivel_Complejidad,Tecnologias_Usadas,Experiencia_Equipo_Años,Presupuesto_Cliente_USD,Cobro_Proyecto_USD
CHL-001,Desarrollo Web Corporativo,9,4,Alto,"Python, Node.js, Swift, React",4.7,21959,111991
CHL-002,Desarrollo Web Corporativo,10,13,Bajo,"Ruby on Rails, React, Swift",8.9,71605,83228
CHL-003,E-commerce Nacional,15,9,Medio,"Java, Vue.js",2.8,55607,61441
CHL-004,Aplicación Móvil Financiera,14,8,Alto,"Flutter, Node.js, Python",2.0,63523,71682
CHL-005,Aplicación Móvil Financiera,13,9,Alto,"Python, Swift",2.1,53687,54176
CHL-006,Aplicación Móvil Financiera,9,9,Alto,"React, Python, Ruby on Rails",4.6,52081,36727
CHL-007,Desarrollo Web Corporativo,6,10,Alto,"Java, PHP, Python",11.4,97835,103422
CHL-008,Plataforma de Educación en Línea,18,14,Medio,"Vue.js, Node.js, React, Flutter",8.2,23710,43300
CHL-009,Desarrollo Web Corporativo,17,3,Medio,"Java, Swift, Angular",9.4,31079,86946
CHL-010,Plataforma de Educación en Línea,4,13,Bajo,"PHP, Java, Flutter",2.6,53228,62196
CHL-011,Sistema ERP Local,3,13,Alto,"Java, Node.js",1.6,63955,42613
CHL-012,Desarrollo Web Corporativo,5,13,Alto,"PHP, Vue.js, Swift",4.5,74942,113652
CHL-013,Desarrollo Web Corporativo,6,4,Medio,"Flutter, Node.js, Ruby on Rails",6.5,47777,65841
CHL-014,Desarrollo Web Corporativo,7,3,Bajo,"Vue.js, PHP",5.1,96846,17720
CHL-015,Aplicación Móvil Financiera,15,9,Medio,"Swift, PHP",11.6,62488,53704
CHL-016,Aplicación Móvil Financiera,4,14,Medio,"Vue.js, Node.js",4.2,82102,109609
CHL-017,Plataforma de Educación en Línea,14,8,Bajo,"Ruby on Rails, Node.js, Vue.js",10.5,14809,73993
CHL-018,Plataforma de Educación en Línea,14,15,Alto,"Swift, Java, PHP",2.7,69614,104435
CHL-019,Desarrollo Web Corporativo,16,4,Alto,"Node.js, React",2.2,21542,118352
